x, y
1030.1822144699552, -0.1974474390202834
1040.3433438265336, 0.6524408724056263
1053.3805774122761, 0.3978919483201815
1065.6194196263316, 0.7961655460392651
1077.9885631028285, 0.60556534623458
1091.2745536441414, 0.3855332427851428
1103.3380814323662, -0.03574034370895851
1116.119450720951, -0.21617070953113227
1130.5449850301618, 0.2836328532782564
1143.857035823963, -0.2507548800610637
1154.041856319167, -0.4027972655943066
1167.9177562122607, -0.23267143354249198
1179.8770429905323, 0.09010293308788064
1191.2890644665497, 0.05309416637668818
1216.178974706748, -0.5077620752747314
1231.7179925313685, -0.1340711888378774
1244.6628306764708, -0.011864806312929854
1258.2662824753686, -0.12430545421890948
1268.2852650001926, -0.011056607585842926
1281.1448150462422, -0.36804472032956537
1295.0657281027247, 0.014233277582587966
1305.605915677315, -0.27668458922177175
1317.7049801734784, -0.2888749200220009
1333.1824010376718, -0.3895630114382569
1345.0587688307535, -0.5084018992670085
1359.2426535259817, -0.8332304376620605
1370.9745053734464, -0.42293488387755773
1382.7324174733992, -0.29153524083199556
1395.4995720788086, -0.1175031149325938
1407.2716988619368, -0.08022494864570562
1420.0364843534835, -0.1672410115954066
1435.1111558610396, 0.129603645874258
1446.5302846786444, 0.2531570262776839
1458.2692438676968, 0.5480485368235546
1471.569449092185, 0.2061131253718278
1485.0639216534046, 0.2901994679358384
1495.6349077082082, 0.8408522006577841
1509.1862390021292, 0.6681333976898989
1522.0386817065912, 0.49706466712314956
1535.4454970548954, -0.06847239215598222
1549.1839883439598, 0.02628890859496913
1561.0722017063542, 0.11067832568163727
1574.0525765593952, -0.5128806672129491
1585.9289443524767, -0.35878410991502685
1598.8121855371521, -0.5857195774916653
1609.5229493098475, -0.743655078743251
1622.884751494763, -0.33652496997317205
1637.3079166901111, -0.33642394513228635
1651.0274550682748, -0.5293813912243086
1663.2307605743918, -0.5014985351398071
1674.325320792824, -0.9612962609583888
1685.8960728976335, -0.2287988146418667
1697.6184482896479, -0.18778272924220119
1713.1337749756426, -0.5177298595754711
1722.2690780297264, 0.5365317049625649
1739.5991459344525, 0.6327073534859187
1748.9239780975422, 0.828830244592365
1764.0412936546245, 0.46520816729713665
1777.5073368494932, -0.12878422216484986
1789.6087704595193, 0.4104863784839541
1801.2363812970307, 0.5584540954347998
1814.0935622292177, 0.9631596080236178
1825.9533462252612, 0.9916822881003964
1840.8645488762995, 0.4189724651183675
1853.252645263697, 0.46382749447169624
1865.2593143192203, 0.06905609123665668
1877.668732731381, -0.6826023999012201
1890.2155597475708, -2.6430231122385983
1902.878473343027, 1.0157598751781967
